skill
Python
Java
C++
Machine Learning
Deep Learning
NLP
FastAPI
Flask
TensorFlow
PyTorch
Scikit-learn
Pandas
NumPy
SQL
MongoDB
PostgreSQL
Docker
AWS
Git
GitHub
LangChain
LangGraph
ChromaDB
FAISS
RAG
Transformers
HuggingFace
OpenCV
